,name
401,gabriella
402,gafia
403,garofita
404,gaspar
405,gavril
406,gavrila
407,geanina
408,gellert
409,gelu
410,george
411,georgel
412,georgeta
413,georgia
414,georgian
415,georgiana
416,georgina
417,gerald
418,gergely
419,gergo
420,gheorghe
421,gheorghina
422,gheorghita
423,ghiocel
424,ghiulbin
425,ghiulfidan
426,giancarlo
427,giani
428,gianina
429,gica
430,gilda
431,gina
432,giorgi
433,giorgiana
434,giulia
435,giuliana
436,giuliano
437,gizella
438,gloria
439,gratian
440,gratiana
441,gregorian
442,greta
443,greti
444,grigore
445,gunter
446,gyongyi
447,gyongyver
448,gyoparka
449,gyorgy
450,gyula
451,hajnal
452,hajnalka
453,hanellore
454,helena
455,helga
456,henriett
457,henrietta
458,hermina
459,hilda
460,horatiu
461,horatius
462,horia
463,hristina
464,huba
465,hunor
466,iacob
467,iancu
468,iani
469,iarka
470,iaroslav
471,iasmina
472,iazmin
473,ibolya
474,ibrahim
475,ica
476,iedida
477,ifigenia
478,ignac
479,ilarie
480,ildiko
481,ileana
482,ilenuta
483,ilie
484,ilinca
485,ilma
486,ilona
487,imelda
488,imola
489,imre
490,ines
491,ingrid
492,ioachim
493,ioan
494,ioana
495,iolanda
496,ion
497,ionatan
498,ionathan
499,ionel
500,ionela
501,ionelia
502,ionica
503,ionita
504,ionut
505,iosefina
506,iosif
507,iozef
508,irene
509,irimie
510,irina
511,irinel
512,iringo
513,irma
514,isabela
515,isabella
516,isabelle
517,isaura
518,isidora
519,istvan
520,iulia
521,iulian
522,iuliana
523,iuliu
524,iura
525,iustin
526,iustina
527,iuxel
528,ivona
529,izabela
530,izabella
531,izolda
532,jacint
533,jacinta
534,jahel
535,janet
536,janina
537,janos
538,jasmina
539,jeno
540,jiva
541,johanna
542,jozsef
543,judit
544,judita
545,judith
546,julia
547,junior
548,kalman
549,kamil
550,kamilla
551,karina
552,karla
553,karles
554,karmen
555,karola
556,karoly
557,kata
558,katalin
559,katalina
560,katinka
561,kinga
562,kitty
563,klara
564,klaudia
565,kristian
566,kristof
567,kriszta
568,krisztian
569,krisztina
570,lacramioara
571,lajos
572,larisa
573,laszlo
574,laura
575,laurean
576,laurentiu
577,lavinia
578,laviniu
579,lazar
580,lehel
581,leila
582,lelia
583,lena
584,lenke
585,lenuta
586,leonard
587,leontin
588,leontina
589,letitia
590,levente
591,lia
592,liana
593,liber
594,lidia
595,liedia
596,ligia
597,liliana
598,lilla
599,lina
600,linca
601,linda
602,lioara
603,lisa
604,livia
605,liviu
606,lizuca
607,lorand
608,lorant
609,loredana
610,lorena
611,lorenzzo
612,loreta
613,loriana
614,lorin
615,luana
616,lucia
617,lucian
618,luciana
619,lucica
620,lucretia
621,ludovic
622,ludovica
623,luigi
624,luisa
625,luiza
626,luki
627,luminita
628,luxandra
629,madalin
630,madalina
631,madian
632,maftei
633,magda
634,magdalena
635,magdolna
636,malvina
637,malvinia
638,manuel
639,manuela
640,mara
641,marc
642,marcel
643,marcela
644,margareta
645,margit
646,maria
647,mariam
648,marian
649,mariana
650,maricel
651,maricela
652,maricica
653,marie
654,marija
655,marika
656,marilena
657,marin
658,marina
659,marinel
660,marinela
661,mario
662,marioara
663,mariuca
664,marius
665,mariuta
666,mark
667,marlena
668,marta
669,martin
670,mary
671,matei
672,matild
673,matyas
674,maximilian
675,mazin
676,medina
677,melania
678,melek
679,melinda
680,melisa
681,melitta
682,meloria
683,memnona
684,michael
685,mihaela
686,mihai
687,mihail
688,mihaita
689,mihnea
690,miklos
691,milan
692,mina
693,minerva
694,minodora
695,mioara
696,mirabela
697,mircea
698,mirel
699,mirela
700,miriam
701,miriana
702,miron
703,miruna
704,mitica
705,monalisa
706,monica
707,monika
708,mozes
709,mugurel
710,nadia
711,naim
712,nandor
713,naomi
714,narcis
715,narcisa
716,narcisz
717,nastasia
718,natalia
719,natanael
720,neculai
721,nelica
722,nelida
723,nelu
724,nelutu
725,neri
726,nicola
727,nicolae
728,nicolai
729,nicole
730,nicoleta
731,nicu
732,niculina
733,niculita
734,nicusor
735,nikolet
736,nikoleta
737,nikolett
738,nina
739,nineta
740,nistor
741,nixilia
742,noemi
743,noemia
744,nora
745,norbert
746,nuta
747,oana
748,octav
749,octavia
750,octavian
751,odon
752,ofelia
753,olga
754,olguta
755,olimpia
756,olimpiada
757,olimpiu
758,olivia
759,olivian
760,oliviu
761,oltita
762,onda
763,ondina
764,onisim
765,oriana
766,orlando
767,orsolya
768,otilia
769,otto
770,ovidia
771,ovidiu
772,pal
773,palaguta
774,palma
775,pamela
776,panorica
777,parascheva
778,paraschiva
779,partene
780,partenie
781,patricia
782,patrik
783,paul
784,paula
785,paulina
786,pavel
787,persida
788,peter
789,petra
790,petre
791,petrea
792,petria
793,petrian
794,petrica
795,petrina
796,petrisor
797,petronel
798,petronela
799,petru
800,petrus
801,petrut
802,petruta
803,piroska
804,pompilia
805,pompiliu
806,predrag
807,pricop
808,radian
809,radu
810,raducu
811,rafael
812,rafaela
813,rahela
814,rainer
815,raisa
816,raluca
817,rambo
818,ramona
819,raoul
820,raphaela
821,rares
822,raul
823,raymond
824,razvan
825,rebeca
826,rebeka
827,reinhard
828,reka
829,remus
830,renata
831,renate
832,renatta
833,renatto
834,rezso
835,richard
836,rita
837,robert
838,roberto
839,rodica
840,rodin
841,roland
842,romelia
843,romeo
844,romica
845,romina
846,romulus
847,ronnye
848,rosa
849,rosana
850,roxana
851,roxane
852,rozalia
853,rozeta
854,ruben
855,rudolf
856,rusalina
857,ruxanda
858,ruxandra
859,sabin
860,sabina
861,saftica
862,salomea
863,salomeea
864,samuel
865,sanda
866,sandor
867,sandu
868,sara
869,sarah
870,sarolta
871,scarlett
872,sebastian
873,seiran
874,semida
875,serban
876,sergiu
877,serioja
878,sevastiana
879,sever
880,shandijeh
881,sharon
882,silvana
883,silvia
884,silviu
885,simina
886,simion
887,simona
888,sintia
889,sinziana
890,sixtine
891,smaranda
892,sofia
893,sofica
894,solomon
895,soma
896,sonia
897,sorin
898,sorina
899,speranta
