,name,ga_first_name,ga_gender,ga_accuracy,ga_samples
901,stefan,Stefan,male,98,50890
902,stefana,Stefana,female,97,182
903,stefanel,Stefanel,male,74,42
904,stefania,Stefania,female,98,18571
905,stefanica,Stefanica,female,64,11
906,stefanita,Stefanita,male,89,27
907,stefanut,Stefanut,male,100,12
908,stelea,Stelea,male,71,7
909,stelian,Stelian,male,98,417
910,steluta,Steluta,female,97,130
911,sunita,Sunita,female,98,2385
912,susana,Susana,female,98,26489
913,suzana,Suzana,female,98,4223
914,szabina,Szabina,female,99,743
915,szabolcs,Szabolcs,male,100,2417
916,szende,Szende,female,100,20
917,szidonia,Szidonia,female,94,32
918,szilamer,Szilamer,male,100,6
919,szilard,Szilard,male,100,225
920,szilveszter,Szilveszter,male,99,287
921,szilvia,Szilvia,female,98,3247
922,tabita,Tabita,female,98,281
923,tamara,Tamara,female,98,23626
924,tamas,Tamas,male,96,1457
925,tana,Tana,female,70,1539
926,tania,Tania,female,98,26196
927,tanita,Tanita,female,96,310
928,tascu,Tascu,male,75,4
929,taselia,,,,
930,tatiana,Tatiana,female,98,27379
931,teia,Teia,female,95,88
932,tekla,Tekla,female,94,193
933,teodor,Teodor,male,98,1034
934,teodora,Teodora,female,97,1541
935,teofana,Teofana,female,100,7
936,teofil,Teofil,male,94,127
937,teona,Teona,female,96,218
938,tereza,Tereza,female,99,13164
939,thabita,Thabita,female,94,33
940,thadeus,Thadeus,male,97,77
941,theodor,Theodor,male,99,510
942,theodora,Theodora,female,92,839
943,tiberiu,Tiberiu,male,99,508
944,tiberius,Tiberius,male,98,128
945,tibor,Tibor,male,99,8646
946,tihamer,Tihamer,male,100,34
947,timea,Timea,female,99,1442
948,timeea,Timeea,female,100,17
949,timotei,Timotei,male,94,32
950,tincuta,Tincuta,female,90,21
951,tinut,Tinut,unknown,50,2
952,titus,Titus,male,97,1977
953,toader,Toader,male,84,132
954,toma,Toma,male,65,1825
955,tradian,Tradian,male,75,4
956,traian,Traian,male,99,412
957,tristan,Tristan,male,97,7725
958,tudor,Tudor,male,93,1331
959,tudorel,Tudorel,male,99,109
960,tunde,Tunde,male,90,4808
961,ungureanu,Ungureanu,male,68,182
962,vadim,Vadim,male,99,5361
963,vahap,Vahap,male,96,1035
964,valentin,Valentin,male,98,16090
965,valentina,Valentina,female,98,38518
966,valentino,Valentino,male,98,6055
967,valer,Valer,male,88,214
968,valeria,Valeria,female,98,23864
969,valerica,Valerica,female,71,137
970,valeriu,Valeriu,male,97,534
971,vali,Vali,male,66,2513
972,vanessa,Vanessa,female,98,78451
973,varvara,Varvara,female,95,363
974,vaselena,Vaselena,female,75,4
975,vasile,Vasile,male,96,3203
976,vasilica,Vasilica,female,67,327
977,verginica,Verginica,female,100,9
978,verona,Verona,female,81,442
979,veronica,Veronica,female,98,38911
980,veronika,Veronika,female,99,31200
981,vicentiu,Vicentiu,male,100,92
982,victor,Victor,male,99,78043
983,victoria,Victoria,female,98,33384
984,victorita,Victorita,female,93,45
985,viktoria,Viktoria,female,98,4545
986,vilmos,Vilmos,male,99,376
987,vinicius,Vinicius,male,100,7882
988,violeta,Violeta,female,98,4746
989,viorel,Viorel,male,99,2108
990,viorela,Viorela,female,97,59
991,viorica,Viorica,female,98,919
992,virgil,Virgil,male,98,1342
993,virginia,Virginia,female,98,14661
994,virginica,Virginica,female,86,7
995,vistian,,,,
996,viviana,Viviana,female,98,9063
997,vlad,Vlad,male,99,8203
998,vladimir,Vladimir,male,99,21639
999,vladut,Vladut,male,96,82
1000,voichita,Voichita,female,94,54
1001,voicu,Voicu,male,78,160
1002,walter,Walter,male,97,26732
1003,willy,Willy,male,95,13688
1004,xenia,Xenia,female,98,1821
1005,yldiz,Yldiz,female,75,4
1006,zacheiu,,,,
1007,zaharia,Zaharia,male,61,122
1008,zaki,Zaki,male,97,6775
1009,zalan,Zalan,male,98,81
1010,zamfira,Zamfira,female,79,19
1011,zenaida,Zenaida,female,98,544
1012,zenovia,Zenovia,female,92,36
1013,zina,Zina,female,97,2797
1014,zita,Zita,female,98,2840
1015,zoltan,Zoltan,male,99,2799
1016,zorand,,,,
1017,zsofia,Zsofia,female,98,138
1018,zsolt,Zsolt,male,100,10091
1019,zsombor,Zsombor,male,99,181
1020,zsuzsa,Zsuzsa,female,99,4134
1021,zsuzsana,Zsuzsana,female,100,17
1022,zsuzsanna,Zsuzsanna,female,99,4047
