,name,ga_first_name,ga_gender,ga_accuracy,ga_samples
401,gabriella,Gabriella,female,98,11810
402,gafia,Gafia,female,75,4
403,garofita,Garofita,female,100,11
404,gaspar,Gaspar,male,97,1427
405,gavril,Gavril,male,92,109
406,gavrila,Gavrila,male,67,110
407,geanina,Geanina,female,97,407
408,gellert,Gellert,male,97,37
409,gelu,Gelu,male,95,480
410,george,George,male,99,63411
411,georgel,Georgel,male,97,106
412,georgeta,Georgeta,female,99,586
413,georgia,Georgia,female,94,5580
414,georgian,Georgian,male,91,350
415,georgiana,Georgiana,female,98,1553
416,georgina,Georgina,female,98,4707
417,gerald,Gerald,male,99,11899
418,gergely,Gergely,male,98,1654
419,gergo,Gergo,male,100,266
420,gheorghe,Gheorghe,male,95,1778
421,gheorghina,Gheorghina,female,100,11
422,gheorghita,Gheorghita,male,83,133
423,ghiocel,Ghiocel,male,79,19
424,ghiulbin,,,,
425,ghiulfidan,,,,
426,giancarlo,Giancarlo,male,99,8531
427,giani,Giani,male,82,502
428,gianina,Gianina,female,98,386
429,gica,Gica,male,68,300
430,gilda,Gilda,female,97,2060
431,gina,Gina,female,98,18022
432,giorgi,Giorgi,male,96,2068
433,giorgiana,Giorgiana,female,97,139
434,giulia,Giulia,female,99,29392
435,giuliana,Giuliana,female,98,3479
436,giuliano,Giuliano,male,99,5548
437,gizella,Gizella,female,99,614
438,gloria,Gloria,female,98,20788
439,gratian,Gratian,male,100,51
440,gratiana,Gratiana,female,94,16
441,gregorian,Gregorian,male,100,24
442,greta,Greta,female,98,4788
443,greti,Greti,female,84,32
444,grigore,Grigore,male,90,442
445,gunter,Gunter,male,97,847
446,gyongyi,Gyongyi,female,98,192
447,gyongyver,Gyongyver,female,100,32
448,gyoparka,,,,
449,gyorgy,Gyorgy,male,94,321
450,gyula,Gyula,male,99,3334
451,hajnal,Hajnal,female,87,205
452,hajnalka,Hajnalka,female,99,1216
453,hanellore,,,,
454,helena,Helena,female,99,28434
455,helga,Helga,female,98,3758
456,henriett,Henriett,female,99,286
457,henrietta,Henrietta,female,96,1213
458,hermina,Hermina,female,90,193
459,hilda,Hilda,female,98,4056
460,horatiu,Horatiu,male,100,236
461,horatius,Horatius,male,95,19
462,horia,Horia,male,75,404
463,hristina,Hristina,female,96,396
464,huba,Huba,male,72,110
465,hunor,Hunor,male,98,127
466,iacob,Iacob,male,79,200
467,iancu,Iancu,male,78,201
468,iani,Iani,male,71,42
469,iarka,,,,
470,iaroslav,Iaroslav,male,99,90
471,iasmina,Iasmina,female,97,70
472,iazmin,,,,
473,ibolya,Ibolya,female,99,2025
474,ibrahim,Ibrahim,male,97,88741
475,ica,Ica,female,92,938
476,iedida,Iedida,female,75,4
477,ifigenia,Ifigenia,female,98,80
478,ignac,Ignac,male,91,129
479,ilarie,Ilarie,male,60,10
480,ildiko,Ildiko,female,99,1428
481,ileana,Ileana,female,98,1985
482,ilenuta,Ilenuta,female,75,4
483,ilie,Ilie,male,91,870
484,ilinca,Ilinca,female,90,135
485,ilma,Ilma,female,97,511
486,ilona,Ilona,female,99,15569
487,imelda,Imelda,female,98,1504
488,imola,Imola,female,95,193
489,imre,Imre,male,99,4419
490,ines,Ines,female,98,17120
491,ingrid,Ingrid,female,98,20882
492,ioachim,Ioachim,male,100,10
493,ioan,Ioan,male,99,2487
494,ioana,Ioana,female,97,3692
495,iolanda,Iolanda,female,98,1704
496,ion,Ion,male,96,4098
497,ionatan,Ionatan,male,100,22
498,ionathan,Ionathan,male,100,11
